tag,wav,cold_s,warm_median_s,wer,cer,transcript,reference
sanity_gpu_tiny,commands_lights.wav,0.335,0.155,0.1429,0.0256," Turn off the living room lights, please.",Turn off the living room lights please.
sanity_gpu_tiny,commands_medium.wav,0.147,0.144,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
sanity_gpu_tiny,commands_short.wav,0.136,0.13,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
sanity_gpu_tiny,countries.wav,0.299,0.334,0.087,0.057," Name 20 countries.  Afghanistan, Brazil, Canada, Denmark, Egypt, Finland,  Germany, Hungary, India, Japan, Kenya, Lithuania,  Mexico, Nigeria, Oman, Portugal, Qatar, Romania,  Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
sanity_gpu_tiny,hen_story.wav,0.368,0.377,0.0426,0.0133," Once upon a time, a little red-hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
sanity_gpu_tiny,mixed_hard.wav,0.218,0.224,0.4737,0.3516," On the 12th of February 2025, Kyrgyzstan and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
sanity_gpu_tiny,money_math.wav,0.247,0.246,0.4643,0.3772, inflation rose 2.7% last quarter.  A dozen eggs cost 499 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
sanity_gpu_tiny,numbers_times.wav,0.228,0.232,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
sanity_gpu_tiny,proper_nouns.wav,0.269,0.266,0.1429,0.0551," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Lichtenstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
sanity_gpu_tiny,year_2026.wav,0.157,0.168,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
vm_cpu_base_beam0,commands_lights.wav,3.682,1.883,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
vm_cpu_base_beam0,commands_medium.wav,1.679,1.655,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
vm_cpu_base_beam0,commands_short.wav,1.581,1.599,0.3333,0.1724, Set a timer for 5 minutes,Set a timer for five minutes.
vm_cpu_base_beam0,countries.wav,2.772,2.736,0.087,0.0466," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden,  Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
vm_cpu_base_beam0,hen_story.wav,3.39,3.1,0.0,0.0089," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
vm_cpu_base_beam0,mixed_hard.wav,2.243,2.231,0.5263,0.3906," On the 12th of February 2025,  Courgaston and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
vm_cpu_base_beam0,money_math.wav,3.755,3.576,0.4643,0.3713, Inflation rose 2.7% last quarter. A dozen eggs cost $4.99 at the local store. The budget deficit  reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
vm_cpu_base_beam0,numbers_times.wav,1.991,1.952,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
vm_cpu_base_beam0,proper_nouns.wav,2.05,2.202,0.1429,0.0394," Burkina Faso, Eritrea, Kazakhstan, Kurdistan, Lichtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
vm_cpu_base_beam0,year_2026.wav,1.676,1.789,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
vm_cpu_base_beam1,commands_lights.wav,1.852,1.501,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
vm_cpu_base_beam1,commands_medium.wav,1.482,1.52,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
vm_cpu_base_beam1,commands_short.wav,1.463,1.481,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
vm_cpu_base_beam1,countries.wav,1.921,1.959,0.087,0.0466," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden,  Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
vm_cpu_base_beam1,hen_story.wav,2.086,1.989,0.0,0.0089," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
vm_cpu_base_beam1,mixed_hard.wav,1.639,1.643,0.5263,0.3906," On the 12th of February 2025,  Courgaston and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
vm_cpu_base_beam1,money_math.wav,3.009,2.886,0.4286,0.3653, Inflation rose 2.7% last quarter. A dozen eggs costs $4.99 at the local store. The budget deficit  reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
vm_cpu_base_beam1,numbers_times.wav,1.92,7.589,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
vm_cpu_base_beam1,proper_nouns.wav,1.887,1.755,0.1429,0.0787," Burkina Faso, Eritrea, Kazakhstan, Kurdistan, Lyftinstein, Mozambique, Turkmenistan, and Zimbabwe  are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
vm_cpu_base_beam1,year_2026.wav,1.539,1.415,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_tiny_float16_beam1,commands_lights.wav,1.397,0.154,0.1429,0.0256," Turn off the living room lights, please.",Turn off the living room lights please.
cuda_tiny_float16_beam1,commands_medium.wav,0.149,0.154,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_tiny_float16_beam1,commands_short.wav,0.133,0.141,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cuda_tiny_float16_beam1,countries.wav,0.325,0.326,0.087,0.057," Name 20 countries.  Afghanistan, Brazil, Canada, Denmark, Egypt, Finland,  Germany, Hungary, India, Japan, Kenya, Lithuania,  Mexico, Nigeria, Oman, Portugal, Qatar, Romania,  Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_tiny_float16_beam1,hen_story.wav,0.329,0.324,0.0426,0.0133," Once upon a time, a little red-hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_tiny_float16_beam1,mixed_hard.wav,0.233,0.209,0.4737,0.3516," On the 12th of February 2025, Kyrgyzstan and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_tiny_float16_beam1,money_math.wav,0.236,0.254,0.4643,0.3772, inflation rose 2.7% last quarter.  A dozen eggs cost 499 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_tiny_float16_beam1,numbers_times.wav,0.234,0.264,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_tiny_float16_beam1,proper_nouns.wav,0.266,0.291,0.1429,0.0551," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Lichtenstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_tiny_float16_beam1,year_2026.wav,0.181,0.167,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_tiny_float16_beam5,commands_lights.wav,0.713,0.21,0.1429,0.0256," Turn off the living room lights, please.",Turn off the living room lights please.
cuda_tiny_float16_beam5,commands_medium.wav,0.211,0.215,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_tiny_float16_beam5,commands_short.wav,0.189,0.195,0.0,0.0, Set a timer for five minutes.,Set a timer for five minutes.
cuda_tiny_float16_beam5,countries.wav,0.57,0.562,0.087,0.057," Name 20 countries.  Afghanistan, Brazil, Canada, Denmark, Egypt, Finland,  Germany, Hungary, India, Japan, Kenya, Lithuania,  Mexico, Nigeria, Oman, Portugal, Qatar, Romania,  Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_tiny_float16_beam5,hen_story.wav,0.613,0.553,0.0,0.0089," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_tiny_float16_beam5,mixed_hard.wav,0.305,0.307,0.4737,0.3516," On the 12th of February 2025, Kyrgyzstan and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_tiny_float16_beam5,money_math.wav,0.397,0.405,0.5,0.3772," Inflation rose 2.7% last quarter, a dozen eggs cost 4.99 at the local store.  The budget deficit reached $1.2 trillion.",Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_tiny_float16_beam5,numbers_times.wav,0.387,0.386,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_tiny_float16_beam5,proper_nouns.wav,0.445,0.449,0.1429,0.0551," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Lichtenstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_tiny_float16_beam5,year_2026.wav,0.252,0.251,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_base_float16_beam1,commands_lights.wav,0.646,0.164,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cuda_base_float16_beam1,commands_medium.wav,0.171,0.172,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_base_float16_beam1,commands_short.wav,0.154,0.16,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cuda_base_float16_beam1,countries.wav,0.411,0.375,0.087,0.0466," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden,  Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_base_float16_beam1,hen_story.wav,0.467,0.442,0.0213,0.0222," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it,  but they all refused.  So she planted it herself, and in due time,  the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_base_float16_beam1,mixed_hard.wav,0.261,0.269,0.5263,0.3906," On the 12th of February 2025,  Courgaston and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_base_float16_beam1,money_math.wav,0.33,0.313,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_base_float16_beam1,numbers_times.wav,0.277,0.294,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_base_float16_beam1,proper_nouns.wav,0.372,0.343,0.1429,0.0866," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Lyftinstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_base_float16_beam1,year_2026.wav,0.191,0.201,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_base_float16_beam5,commands_lights.wav,0.714,0.242,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cuda_base_float16_beam5,commands_medium.wav,0.267,0.251,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_base_float16_beam5,commands_short.wav,0.203,0.228,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cuda_base_float16_beam5,countries.wav,0.593,0.595,0.087,0.0466," Name 20 countries, Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden,  Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_base_float16_beam5,hen_story.wav,0.748,0.742,0.0213,0.0178," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it,  but they all refused.  So she planted it herself, and in due time, the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_base_float16_beam5,mixed_hard.wav,0.374,0.4,0.5789,0.375," On the 12th of February, 2025,  Kergistan and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_base_float16_beam5,money_math.wav,0.515,0.499,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_base_float16_beam5,numbers_times.wav,0.467,0.497,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_base_float16_beam5,proper_nouns.wav,0.537,0.517,0.0714,0.0472," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Liechtenstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_base_float16_beam5,year_2026.wav,0.269,0.291,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
